authors,title
"[Patrice Y. Simard, Saleema Amershi, David Maxwell Chickering, Alicia Edelman Pelton, Soroush Ghorashi, Christopher Meek, Gonzalo Ramos, Jina Suh, Johan Verwey, Mo Wang, John Wernsing]",Machine Teaching - A New Paradigm for Building Machine Learning Systems.
"[Jure Sokolic, Qiang Qiu, Miguel R. D. Rodrigues, Guillermo Sapiro]",Learning to Succeed while Teaching to Fail - Privacy in Closed Machine Learning Systems.
Zizhuang Wang,Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of learning relational order via reinforcement learning procedure?
"[Jamie Hayes, George Danezis]",Machine Learning as an Adversarial Service - Learning Black-Box Adversarial Examples.
"[André G. C. Pacheco, Renato A. Krohling, Carlos da Silva]",Restricted Boltzmann machine to determine the input weights for extreme learning machines.
Johan Loeckx,The Case for Meta-Cognitive Machine Learning - On Model Entropy and Concept Formation in Deep Learning.
Jihun Hamm,Machine vs Machine - Defending Classifiers Against Learning-based Adversarial Attacks.
"[Andreas Weinand, Michael Karrenbauer, Raja Sattiraju, Hans D. Schotten]",Application of Machine Learning for Channel based Message Authentication in Mission Critical Machine Type Communication.
"[Pierre Baldi, Peter J. Sadowski, Zhiqin Lu]",Learning in the Machine - the Symmetries of the Deep Learning Channel.
Julien Mairal,Large-Scale Machine Learning and Applications. (Apprentissage à grande échelle et applications).
Abhijit Ghatak,Machine Learning with R
Miroslav Kubat,"An Introduction to Machine Learning, Second Edition"
Zainab Abaid,Time-sensitive prediction of malware attacks and analysis of machine-learning classifiers in adversarial settings.
Syed Z. Arshad,Real-time cognitive workload measures - investigating user mouse activity and machine learning.
Michael Izbicki,Divide and Conquer Algorithms for Faster Machine Learning.
Alban Maxhuni,Managing the Scarcity of Monitoring Data through Machine Learning in Healthcare Domain.
Mohammad Mohebbi,Accurate prediction of human mirna targets via graph modeling and machine learning approaches.
Matthew W. Moskewicz,"Implementing Efficient, Portable Computations for Machine Learning."
Xinghao Pan,Parallel Machine Learning Using Concurrency Control.
